Image;;;;;;;;
IRHT_P_000166.tif;facs_1;1;11;81;1;11;0_0;
IRHT_P_000302.tif;facs_2;2;40;61;2;40;0_0;
IRHT_P_000581.tif;facs_3;1;16;38;1;16;0_0;
IRHT_P_000736.tif;facs_4;1;23;10;1;21;0_2;lignes non transcrites
IRHT_P_001038.tif;facs_5;1;14;84;1;15;0_-1;rejet
IRHT_P_001144.tif;facs_6;2;26;23;2;25;0_1;ligne non transcrite
IRHT_P_001161.tif;facs_7;1;12;11;1;12;0_0;
IRHT_P_001177.tif;facs_8;1;17;17;1;17;0_0;
IRHT_P_001189.tif;facs_9;1;12;4;1;12;0_0;
IRHT_P_001198.tif;facs_10;1;20;18;1;21;0_-1;ligne rognée transcrite
IRHT_P_001204.tif;facs_11;1;12;20;1;13;0_-1;lb en trop
IRHT_P_001206.tif;facs_12;1;21;19;1;20;0_1;ligne non transcrite
IRHT_P_001216.tif;facs_13;1;13;12;1;13;0_0;
IRHT_P_001225.tif;facs_14;1;16;24;1;16;0_0;
IRHT_P_001235.tif;facs_15;1;19;31;1;19;0_0;
IRHT_P_001266.tif;facs_16;2;55;48;2;55;0_0;
IRHT_P_001766.tif;facs_17;2;16;54;2;16;0_0;
IRHT_P_002134.tif;facs_18;2;28;35;2;29;0_-1;rejet
IRHT_P_002175.tif;facs_19;1;11;85;1;11;0_0;
IRHT_P_002221.tif;facs_20;2;22;60;2;22;0_0;
IRHT_P_002307.tif;facs_21;1;20;25;1;20;0_0;
IRHT_P_002376.tif;facs_22;1;9;66;1;9;0_0;
IRHT_P_002572.tif;facs_23;1;19;29;1;19;0_0;
IRHT_P_002584.tif;facs_24;1;16;15;1;16;0_0;
IRHT_P_002725.tif;facs_25;2;20;64;2;20;0_0;
IRHT_P_002781.tif;facs_26;1;25;44;1;26;0_-1;rejet
IRHT_P_002810.tif;facs_27;1;27;79;1;27;0_0;
IRHT_P_003040.tif;facs_28;1;17;30;1;17;0_0;
IRHT_P_003592.tif;facs_29;2;44;45;2;37;0_7;segmentation Tk non vérifiée
IRHT_P_003602.tif;facs_30;1;26;70;1;20;0_6;édition incomplète
IRHT_P_003649.tif;facs_31;1;25;82;1;24;0_1;ligne non transcrite
IRHT_P_003653.tif;facs_32;4;32;56;1;28;3_4;segmentation Tk non vérifiée
IRHT_P_003817.tif;facs_33;1;26;73;1;26;0_0;
IRHT_P_004652.tif;facs_34;1;12;16;1;11;0_1;ligne non transcrite
IRHT_P_004718.tif;facs_35;1;28;33;1;29;0_-1;rejet indiqué fautif, mot déplacé
IRHT_P_004814.tif;facs_36;1;21;65;1;21;0_0;
IRHT_P_004933.tif;facs_37;2;36;40;2;35;0_1;ligne non transcrite
IRHT_P_004944.tif;facs_38;2;36;49;2;36;0_0;
IRHT_P_004956.tif;facs_39;1;13;83;1;13;0_0;
IRHT_P_005002.tif;facs_40;1;19;99;1;19;0_0;
IRHT_P_005020.tif;facs_41;1;13;13;1;13;0_0;
IRHT_P_005038.tif;facs_42;1;29;47;1;29;0_0;
IRHT_P_005043.tif;facs_43;1;14;95;1;14;0_0;
IRHT_P_005065.tif;facs_44;1;10;80;1;10;0_0;
IRHT_P_005163.tif;facs_45;1;21;57;1;27;0_-6;rejet sur plusieurs lignes
IRHT_P_005179.tif;facs_46;1;28;46;1;32;0_-4;rejet sur plusieurs lignes
IRHT_P_005180.tif;facs_47;2;45;91;2;45;0_0;
IRHT_P_005231.tif;facs_48;1;20;42;1;20;0_0;
IRHT_P_005240.tif;facs_49;1;17;39;1;17;0_0;
IRHT_P_005296.tif;facs_50;2;36;58;2;40;0_-4;rejet sur plusieurs lignes
IRHT_P_005323.tif;facs_51;1;22;21;1;22;0_0;
IRHT_P_005433.tif;facs_52;3;37;50;3;35;0_2;lignes transcrites mais non traitées en -c
IRHT_P_005468.tif;facs_53;1;17;7;1;17;0_0;
IRHT_P_005470.tif;facs_54;1;10;8;1;10;0_0;
IRHT_P_005471.tif;facs_55;1;16;9;1;18;0_-2;rejet
IRHT_P_006232.tif;facs_56;1;14;2;1;15;0_-1;ligne rognée transcrite
IRHT_P_006282.tif;facs_57;3;53;;0;0;3_53;hors édition
IRHT_P_006331.tif;facs_58;2;42;22;2;42;0_0;
IRHT_P_006485.tif;facs_59;1;17;36;1;17;0_0;
IRHT_P_006550.tif;facs_60;1;23;3;1;23;0_0;
IRHT_P_006810.tif;facs_61;2;36;59;2;39;0_-3;rejet
IRHT_P_006920.tif;facs_62;1;19;88;1;19;0_0;
IRHT_P_006943.tif;facs_63;1;22;62;1;22;0_0;
IRHT_P_007009.tif;facs_64;1;26;69;1;21;0_5;lignes transcrites mais non traitées en -c
IRHT_P_007011.tif;facs_65;4;15;97;1;12;3_3;segmentation Tk non vérifiée
IRHT_P_007023.tif;facs_66;1;27;92;1;28;0_-1;lb en trop
IRHT_P_007033.tif;facs_67;1;14;67;1;14;0_0;
IRHT_P_007084.tif;facs_68;1;22;89;1;22;0_0;
IRHT_P_007089.tif;facs_69;2;42;34;1;21;1_21;pb => lignes transcrites mais non traitées en -c
IRHT_P_007137.tif;facs_70;1;14;63;1;12;0_2;segmentation Tk non vérifiée
IRHT_P_007204.tif;facs_71;1;12;77;1;12;0_0;
IRHT_P_007208.tif;facs_72;2;24;86;2;25;0_-1;lb en trop
IRHT_P_007305.tif;facs_73;1;11;74;1;11;0_0;
IRHT_P_007378.tif;facs_74;1;12;52;1;12;0_0;
IRHT_P_007384.tif;facs_75;1;18;96;1;17;0_1;lignes transcrites mais non traitées en -c
